latitude,longitude,location_name,location_addresstype,location_boundingbox,location_class,location_display_name,location_importance,location_lat,location_lon,location_osm_id,location_place_id,location_place_rank,address_city_district,address_county,address_municipality,address_road,address_village,address_hamlet,altitude
27.7878,85.8998333333333,Arniko Highway,road,"['27.7869645', '27.7917041', '85.8979360', '85.9000202'] ",highway,"Arniko Highway, Barhabise-04, Bāhrabīse, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                                           ",0.0533833348592354,27.7869884645506,85.8996821834031,942708593,224443884,26,Barhabise-04,सिन्धुपाल्चोक,Barhabise,Arniko Highway,Bāhrabīse,,857
27.7927,85.9255,Bahrabise - Karthali - Dolangsa Road,road,"['27.7875653', '27.8147652', '85.9097004', '85.9937360'] ",highway,"Bahrabise - Karthali - Dolangsa Road, Drumtali, Barhabise-02, Karthali, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                            ",0.0533833348592354,27.7931925680257,85.9257196089937,341647092,226500031,26,Barhabise-02,सिन्धुपाल्चोक,Barhabise,Bahrabise - Karthali - Dolangsa Road,Karthali,Drumtali,1538
27.7965,85.939,Bahrabise - Karthali - Dolangsa Road,road,"['27.7875653', '27.8147652', '85.9097004', '85.9937360'] ",highway,"Bahrabise - Karthali - Dolangsa Road, Drumtali, Barhabise-02, Karthali, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                            ",0.0533833348592354,27.7956639607223,85.9390969784248,341647092,226500031,26,Barhabise-02,सिन्धुपाल्चोक,Barhabise,Bahrabise - Karthali - Dolangsa Road,Karthali,Drumtali,1723
27.7902,85.9429,,road,"['27.7837040', '27.7909463', '85.9428052', '85.9502475'] ",highway,"Budepa, Barhabise-02, Karthali, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                                                    ",0.0533833348592354,27.7908176419856,85.9433363380758,941469165,225210668,26,Barhabise-02,सिन्धुपाल्चोक,Barhabise,,Karthali,Budepa,1571
27.7827,85.9453,Bahrabise - Budepa Road,road,"['27.7823371', '27.7866371', '85.9051922', '85.9467214'] ",highway,"Bahrabise - Budepa Road, Budepa, Barhabise-02, Simle, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                              ",0.0533833348592354,27.7830806,85.9451403,341647103,222621734,26,Barhabise-02,सिन्धुपाल्चोक,Barhabise,Bahrabise - Budepa Road,Simle,Budepa,1139
27.7811,85.9627,Bahrabise - Budepa - Ghorthali Road,road,"['27.7812526', '27.7852624', '85.9467214', '85.9787399'] ",highway,"Bahrabise - Budepa - Ghorthali Road, Tripurasundari-01, Ghorthali, Tripurasundari, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                            ",0.0533833348592354,27.7817660808765,85.9629358145002,340435707,224303414,26,Tripurasundari-01,सिन्धुपाल्चोक,Tripurasundari,Bahrabise - Budepa - Ghorthali Road,Ghorthali,,1297
27.7857,85.9798,,road,"['27.7846973', '27.7863149', '85.9786356', '85.9793294'] ",highway,"Tripurasundari-01, Ghorthali, Tripurasundari, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                                                 ",0.0533833348592354,27.78588171,85.97925487,939352668,222521593,26,Tripurasundari-01,सिन्धुपाल्चोक,Tripurasundari,,Ghorthali,,1749
27.7881,85.9963,Chyanarsa,hamlet,"['27.7750276', '27.8150276', '85.9684118', '86.0084118'] ",place,"Chyanarsa, Barhabise-01, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                                                           ",0.133383334859236,27.7950276,85.9884118,8758375125,224181646,20,Barhabise-01,सिन्धुपाल्चोक,Barhabise,,,Chyanarsa,2018
27.8011,85.991,,road,"['27.7860348', '27.8129429', '85.9790966', '85.9945006'] ",highway,"Chyanarsa, Barhabise-01, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                                                           ",0.0533833348592354,27.8017459,85.9907309,328238043,222521657,26,Barhabise-01,सिन्धुपाल्चोक,Barhabise,,,Chyanarsa,2117
27.8169,86.0018,Bahrabise - Karthali - Dolangsa Road,road,"['27.8119510', '27.8249414', '85.9913758', '86.0050395'] ",highway,"Bahrabise - Karthali - Dolangsa Road, Dolansa, Barhabise-01, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल                                       ",0.0533833348592354,27.8179081489523,86.0019965566641,340435694,224019992,26,Barhabise-01,सिन्धुपाल्चोक,Barhabise,Bahrabise - Karthali - Dolangsa Road,,Dolansa,2844
