name,latitude,longitude,altitude,importance
Arniko Highway,27.7973506015514,85.8960040971853,942,0.053383334859235486
Bahrabise - Karthali - Dolangsa Road,27.8272412,86.0077633,3427,0.05337333409628439
Bahrabise - Budepa Road,27.7830806,85.9451403,1139,0.053383334859235486
Bahrabise - Budepa - Ghorthali Road,27.7817660808765,85.9629358145002,1297,0.053383334859235486
Chyanarsa,27.7950276,85.9884118,2018,0.053383334859235486
Bigu-07,27.8402896,86.0528997345248,3434,0.05337333409628439
Bigu - Choitang - Gaglate Road,27.8380858680536,86.0693342012928,2131,0.05337333409628439
Singati-Bigu Road,27.7599929,86.1481369,1062,0.05337333409628439
Chilankha-Syakhu-Alampu-Bigu Road,27.7945143717388,86.1217871731345,1688,0.05337333409628439
Shri Choing Choling Gumba,27.8723571,86.23389925,1657,5.000152590214416e-05
Bamboo Bhatti,27.8862405,86.2446445,2750,5.000152590214416e-05
Surmuche Hotel,27.8878572,86.2583097,2719,5.000152590214416e-05
Kyalche,27.9009832,86.2752002,3196,0.10671666819256884
Dongang,27.9034258,86.288103,3145,0.10671666819256884
Lodge,27.9034379,86.3265257,3359,5.000152590214416e-05
Sumda Mahades Hindu shrine,27.9031544,86.3420865,3548,5.000152590214416e-05
Ramding,27.9070726,86.3634476,3614,5.000152590214416e-05
रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,27.9049642,86.3682367,3706,5.000152590214416e-05
"historic Beding Gompa, Guru Rinpche cave ",27.9050483,86.3759091,3956,5.000152590214416e-05
Beding,27.9028109,86.3755363,3788,5.000152590214416e-05
Gaurishankar-09,27.8864349,86.3990892331761,5176,0.16005000152590218
Josef Phurba Lodge,27.8812452,86.4260522,4254,5.000152590214416e-05
Na,27.8814863,86.42678,4298,5.000152590214416e-05
Chukyima,27.8590363,86.4725451,4909,5.000152590214416e-05
Gaurishankar-01,27.6841312,86.1775733379717,2343,0.053383334859235486
Charikot-Lamabagar Road,27.8333721,86.2207031,1306,0.053383334859235486
NH28,27.9157508,86.2083782,2002,0.05337333409628439
Charikot-Singati-Lamabagar Road,27.7269111231476,86.1572265258272,1093,0.053383334859235486
Shree kaileshwori PRA V,27.8170847,86.1264663,1933,4.0000762951049326e-05
Shree Himalaya Ma V,27.8055801,86.1219368543785,1798,4.0000762951049326e-05
Shree Chirkun Than Namuna PRA V,27.7993319,86.1219555,1714,4.0000762951049326e-05
Singati - Laduk Road,27.7682284110134,86.1678011440656,2033,0.05337333409628439
Singati-Bulung Road,27.7587179952823,86.1699496718709,1772,0.05337333409628439
Shree Jana Kalyan PRA V,27.7813077,86.1889292,1774,4.0000762951049326e-05
Bigu-03,27.79481575,86.1715869024602,1554,0.05337333409628439
Orang,27.80616,86.19669,1851,4.0000762951049326e-05
Tashi Labtsa Camp,27.8473663,86.5527527,5726,5.000152590214416e-05
F202,27.6019509170202,86.3066269872054,2183,0.053383334859235486
21DR017,27.6293501954485,86.3076153300625,1841,0.053383334859235486
Shree Valepokhari Pra Vi,27.6547295,86.3244235132115,1937,5.000152590214416e-05
Degunsha,27.6706092,86.3346058,2151,5.000152590214416e-05
खहरे,27.6806518,86.3389667,2288,0.14671666819256882
Jiri-01,27.78668815,86.3498406132568,4602,0.16005000152590218
Tershe,27.7190715,86.411384,4303,0.06671666819256886
Khola Kharka,27.742438,86.4478374,4167,0.14671666819256882
Umakunda-01,27.70061845,86.4728743721854,2240,0.14671666819256882
Ngeju Kharka,27.7334185,86.5166062,3450,0.14671666819256882
ल्हाछेवार,27.6872829,86.4694059,2320,5.000152590214416e-05
Himalaya Pra V,27.68067255,86.4590789019323,2647,5.000152590214416e-05
Kyama,27.6285865456118,86.4294067283564,2009,0.053383334859235486
21DR018,27.6096298209008,86.4103260156803,2437,0.053383334859235486
Pabitra Dristi Numbur Himalayan Pra V,27.6137887,86.4112569398728,2564,5.000152590214416e-05
Gumdel,27.6166837,86.4234251,1832,5.000152590214416e-05
Jadibuti Ni Ma V,27.5821493,86.3811623442286,2313,5.000152590214416e-05
Shivalaya-Bhandar,27.5879485,86.3287785,2653,0.04005000152590218
23DR015,27.9174823,85.7819796,1610,0.053383334859235486
Kalinchok Footpath,27.7555758,86.0349212,3625,0.04005000152590218
Tripurasundari-01,27.7732586,85.9967173738137,3461,0.14671666819256882
Kalinchok-01,27.7872548,86.0625757388351,3590,0.053383334859235486
Barhabise-01,27.8050369,86.003222536537,3603,0.1333833348592355
Bhotekoshi-05,27.84887705,85.939705738014,2838,0.14671666819256882
Pokhare,27.8009472,85.9474848,3230,0.053383334859235486
Pokhari,27.8656578,85.9334201,2779,0.053383334859235486
NH34,27.9243005,85.9514255,2232,0.053383334859235486
Jiri Hospital,27.6342203,86.2318313772541,1888,5.000152590214416e-05
Jiri-Shivalaya,27.6198705162875,86.251629058111,2386,0.04005000152590218
Jiri-02,27.6670333,86.2490316,3172,5.000152590214416e-05
chautara,27.6735234,86.2525758,3477,5.000152590214416e-05
Gaurishankar-05,27.72170835,86.2674203170994,3585,0.053383334859235486
Soktuma,27.72170835,86.2674203170994,3591,0.053383334859235486
Gaurishankar-07,27.78668815,86.3498406132568,4244,0.16005000152590218
Gaurishankar-08,27.8864349,86.3990892331761,5241,0.16005000152590218
Yalung Ri Base Camp,27.85667695,86.432428,4885,5.000152590214416e-05
F106,27.9240733,86.2123442,1995,0.05337333409628439
Tamakoshi Hydroelectric,27.9236448,86.2127918,1993,0.05337333409628439
Buddhist stupa,27.96488295,86.2213818501269,2251,4.0000762951049326e-05
Bigu-01,27.9950545,86.1593897722516,4096,0.16004000076295108
Shelters,28.0696847,86.1629716852219,3602,4.0000762951049326e-05
Lapchi,28.1203469,86.1645254,3925,4.0000762951049326e-05
Chöra Gepel Ling,28.1203469,86.1645254,3784,4.0000762951049326e-05
Nepal- China Boundary Pillar No. 58,28.1345685,86.201025,4073,4.2468146791745135e-05
Nepal- China Boundary Pillar No. 59,28.1341242,86.2037859,4133,4.2468146791745135e-05
Nepal- China Boundary Pillar No. 56,28.1315322,86.1535985,4081,4.2468146791745135e-05
Phakchue kharka,27.9779834,85.8296296,1843,0.04005000152590218
Kothe Binjel Dhuskot sadak,27.7511821,85.7971337,1062,0.053383334859235486
23DR013,27.7784333685309,85.7654364624387,778,0.053383334859235486
Kipche,27.8670053,85.7444708,1127,5.000152590214416e-05
Jugal Pra V,27.8965685,85.75841985,1162,5.000152590214416e-05
23DR018,27.8944155,85.7661044,1429,0.053383334859235486
Kalidevi Ma Vi,27.8958867,85.7786181593136,1772,5.000152590214416e-05
Gautam Pra V,27.911273,85.7787156560098,1243,5.000152590214416e-05
Streusiedlung,27.9418178,85.8004524,1991,0.053383334859235486
Kyablunthang Ni Ma V,27.9633159,85.8026615,1878,5.000152590214416e-05
Gamphāthāng,27.9641043,85.8045692,2217,5.000152590214416e-05
23DR027,27.8917883,85.8771539,2131,0.053383334859235486
Gumtang-Bhairabkunda Road,27.8566153277613,85.859400716802,1870,0.053383334859235486
