name                                                         ,type            ,longitude ,latitude ,source_file
"Feature-Barhabise to TshoRolpa (Line 1, Point 1)"           ,MultiLineString ,  85.8996 , 27.7872 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 2)"           ,MultiLineString ,  85.9255 , 27.7927 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 3)"           ,MultiLineString ,  85.939  , 27.7965 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 4)"           ,MultiLineString ,  85.9429 , 27.7902 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 5)"           ,MultiLineString ,  85.9453 , 27.7827 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 6)"           ,MultiLineString ,  85.9627 , 27.7811 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 7)"           ,MultiLineString ,  85.9798 , 27.7857 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 8)"           ,MultiLineString ,  85.9963 , 27.7881 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 9)"           ,MultiLineString ,  85.991  , 27.8011 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 10)"          ,MultiLineString ,  86.0018 , 27.8169 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 11)"          ,MultiLineString ,  86.0069 , 27.8239 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 12)"          ,MultiLineString ,  86.0125 , 27.8318 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 13)"          ,MultiLineString ,  86.0236 , 27.8361 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 14)"          ,MultiLineString ,  86.0312 , 27.8382 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 15)"          ,MultiLineString ,  86.0326 , 27.8386 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 16)"          ,MultiLineString ,  86.0515 , 27.8357 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 17)"          ,MultiLineString ,  86.07   , 27.8363 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 18)"          ,MultiLineString ,  86.0845 , 27.8357 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 19)"          ,MultiLineString ,  86.0874 , 27.8359 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 20)"          ,MultiLineString ,  86.0906 , 27.8346 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 21)"          ,MultiLineString ,  86.0949 , 27.8309 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 22)"          ,MultiLineString ,  86.096  , 27.8265 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 23)"          ,MultiLineString ,  86.0994 , 27.8272 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 24)"          ,MultiLineString ,  86.1037 , 27.8225 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 25)"          ,MultiLineString ,  86.1128 , 27.8255 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 26)"          ,MultiLineString ,  86.1149 , 27.8257 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 27)"          ,MultiLineString ,  86.1176 , 27.8269 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 1, Point 28)"          ,MultiLineString ,  86.122  , 27.8289 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 2, Point 1)"           ,MultiLineString ,  86.2344 , 27.8714 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 2, Point 2)"           ,MultiLineString ,  86.2355 , 27.8721 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 3, Point 1)"           ,MultiLineString ,  86.2355 , 27.8721 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 3, Point 2)"           ,MultiLineString ,  86.2369 , 27.8729 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 4, Point 1)"           ,MultiLineString ,  86.2355 , 27.8721 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 4, Point 2)"           ,MultiLineString ,  86.2356 , 27.872  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 4, Point 3)"           ,MultiLineString ,  86.2369 , 27.8729 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 5, Point 1)"           ,MultiLineString ,  86.2369 , 27.8729 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 5, Point 2)"           ,MultiLineString ,  86.241  , 27.8756 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 1)"           ,MultiLineString ,  86.2369 , 27.8729 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 2)"           ,MultiLineString ,  86.247  , 27.8788 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 3)"           ,MultiLineString ,  86.2632 , 27.8856 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 4)"           ,MultiLineString ,  86.2798 , 27.8946 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 5)"           ,MultiLineString ,  86.2875 , 27.9056 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 6)"           ,MultiLineString ,  86.307  , 27.9062 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 7)"           ,MultiLineString ,  86.3289 , 27.9027 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 8)"           ,MultiLineString ,  86.3384 , 27.9043 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 9)"           ,MultiLineString ,  86.357  , 27.9067 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 10)"          ,MultiLineString ,  86.3689 , 27.9051 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 11)"          ,MultiLineString ,  86.3769 , 27.9045 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 12)"          ,MultiLineString ,  86.3822 , 27.8951 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 13)"          ,MultiLineString ,  86.393  , 27.8865 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 14)"          ,MultiLineString ,  86.4044 , 27.8845 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 15)"          ,MultiLineString ,  86.4244 , 27.8842 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 16)"          ,MultiLineString ,  86.4396 , 27.8742 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 17)"          ,MultiLineString ,  86.4412 , 27.8746 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 18)"          ,MultiLineString ,  86.4461 , 27.8758 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 19)"          ,MultiLineString ,  86.4511 , 27.874  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 20)"          ,MultiLineString ,  86.456  , 27.869  ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 6, Point 21)"          ,MultiLineString ,  86.4623 , 27.8714 ,dataset/raw/Barhabise to TshoRolpa.json
"Feature-Barhabise to TshoRolpa (Line 7, Point 1)"           ,MultiLineString ,  86.2304 , 27.8732 ,dataset/raw/Barhabise to TshoRolpa.json
