name,type,longitude,latitude,source_file,location_addresstype,location_boundingbox,location_class,location_display_name,location_importance,location_lat,location_licence,location_lon,location_name,location_osm_id,location_osm_type,location_place_id,location_place_rank,location_type,address_ISO3166-2-lvl4,address_aeroway,address_amenity,address_city_district,address_country,address_country_code,address_county,address_emergency,address_hamlet,address_historic,address_isolated_dwelling,address_locality,address_municipality,address_neighbourhood,address_postcode,address_residential,address_road,address_state,address_tourism,address_town,address_village
"Feature-Barhabise to TshoRolpa (Line 1, Point 1)           ",MultiLineString,85.8996,27.7872,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7869645', '27.7917041', '85.8979360', '85.9000202']",highway,"Arniko Highway, Barhabise-04, Bāhrabīse, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.786988464550575,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.89968218340306,Arniko Highway,942708593,way,224443884,26,trunk,NP-P3,,,Barhabise-04,नेपाल,np,सिन्धुपाल्चोक,,,,,,Barhabise,,,,Arniko Highway,बागमती प्रदेश,,,Bāhrabīse
"Feature-Barhabise to TshoRolpa (Line 1, Point 2)           ",MultiLineString,85.9255,27.7927,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7875653', '27.8147652', '85.9097004', '85.9937360']",highway,"Bahrabise - Karthali - Dolangsa Road, Drumtali, Barhabise-02, Karthali, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.79319256802568,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.9257196089937,Bahrabise - Karthali - Dolangsa Road,341647092,way,226500031,26,tertiary,NP-P3,,,Barhabise-02,नेपाल,np,सिन्धुपाल्चोक,,Drumtali,,,,Barhabise,,,,Bahrabise - Karthali - Dolangsa Road,बागमती प्रदेश,,,Karthali
"Feature-Barhabise to TshoRolpa (Line 1, Point 3)           ",MultiLineString,85.939,27.7965,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7875653', '27.8147652', '85.9097004', '85.9937360']",highway,"Bahrabise - Karthali - Dolangsa Road, Drumtali, Barhabise-02, Karthali, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.795663960722315,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.9390969784248,Bahrabise - Karthali - Dolangsa Road,341647092,way,226500031,26,tertiary,NP-P3,,,Barhabise-02,नेपाल,np,सिन्धुपाल्चोक,,Drumtali,,,,Barhabise,,,,Bahrabise - Karthali - Dolangsa Road,बागमती प्रदेश,,,Karthali
"Feature-Barhabise to TshoRolpa (Line 1, Point 4)           ",MultiLineString,85.9429,27.7902,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7837040', '27.7909463', '85.9428052', '85.9502475']",highway,"Budepa, Barhabise-02, Karthali, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.790817641985566,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.94333633807582,,941469165,way,225210668,26,unclassified,NP-P3,,,Barhabise-02,नेपाल,np,सिन्धुपाल्चोक,,Budepa,,,,Barhabise,,,,,बागमती प्रदेश,,,Karthali
"Feature-Barhabise to TshoRolpa (Line 1, Point 5)           ",MultiLineString,85.9453,27.7827,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7823371', '27.7866371', '85.9051922', '85.9467214']",highway,"Bahrabise - Budepa Road, Budepa, Barhabise-02, Simle, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.7830806,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.9451403,Bahrabise - Budepa Road,341647103,way,222621734,26,tertiary,NP-P3,,,Barhabise-02,नेपाल,np,सिन्धुपाल्चोक,,Budepa,,,,Barhabise,,,,Bahrabise - Budepa Road,बागमती प्रदेश,,,Simle
"Feature-Barhabise to TshoRolpa (Line 1, Point 6)           ",MultiLineString,85.9627,27.7811,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7812526', '27.7852624', '85.9467214', '85.9787399']",highway,"Bahrabise - Budepa - Ghorthali Road, Tripurasundari-01, Ghorthali, Tripurasundari, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.78176608087646,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.96293581450017,Bahrabise - Budepa - Ghorthali Road,340435707,way,224303414,26,tertiary,NP-P3,,,Tripurasundari-01,नेपाल,np,सिन्धुपाल्चोक,,,,,,Tripurasundari,,,,Bahrabise - Budepa - Ghorthali Road,बागमती प्रदेश,,,Ghorthali
"Feature-Barhabise to TshoRolpa (Line 1, Point 7)           ",MultiLineString,85.9798,27.7857,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7846973', '27.7863149', '85.9786356', '85.9793294']",highway,"Tripurasundari-01, Ghorthali, Tripurasundari, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.785881709999963,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.97925486999999,,939352668,way,222521593,26,unclassified,NP-P3,,,Tripurasundari-01,नेपाल,np,सिन्धुपाल्चोक,,,,,,Tripurasundari,,,,,बागमती प्रदेश,,,Ghorthali
"Feature-Barhabise to TshoRolpa (Line 1, Point 8)           ",MultiLineString,85.9963,27.7881,dataset/raw/Barhabise to TshoRolpa.json,hamlet,"['27.7750276', '27.8150276', '85.9684118', '86.0084118']",place,"Chyanarsa, Barhabise-01, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.1333833348592355,27.7950276,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.9884118,Chyanarsa,8758375125,node,224181646,20,hamlet,NP-P3,,,Barhabise-01,नेपाल,np,सिन्धुपाल्चोक,,Chyanarsa,,,,Barhabise,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 9)           ",MultiLineString,85.991,27.8011,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.7860348', '27.8129429', '85.9790966', '85.9945006']",highway,"Chyanarsa, Barhabise-01, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.8017459,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",85.9907309,,328238043,way,222521657,26,unclassified,NP-P3,,,Barhabise-01,नेपाल,np,सिन्धुपाल्चोक,,Chyanarsa,,,,Barhabise,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 10)          ",MultiLineString,86.0018,27.8169,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8119510', '27.8249414', '85.9913758', '86.0050395']",highway,"Bahrabise - Karthali - Dolangsa Road, Dolansa, Barhabise-01, Barhabise, सिन्धुपाल्चोक, बागमती प्रदेश, नेपाल",0.053383334859235486,27.81790814895233,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.00199655666405,Bahrabise - Karthali - Dolangsa Road,340435694,way,224019992,26,unclassified,NP-P3,,,Barhabise-01,नेपाल,np,सिन्धुपाल्चोक,,Dolansa,,,,Barhabise,,,,Bahrabise - Karthali - Dolangsa Road,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 11)          ",MultiLineString,86.0069,27.8239,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8181411', '27.8266878', '86.0072456', '86.0111253']",highway,"Bigu-07, Bigu, दोलखा, बागमती प्रदेश, नेपाल",0.05337333409628439,27.8240638,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.0072456,,340435703,way,223425418,26,unclassified,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,,,,,Bigu,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 12)          ",MultiLineString,86.0125,27.8318,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8266878', '27.8325768', '86.0077395', '86.0187924']",highway,"Bigu-07, Bigu, दोलखा, बागमती प्रदेश, नेपाल",0.05337333409628439,27.83185319545625,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.01245002700848,,340435709,way,222527083,26,unclassified,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,,,,,Bigu,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 13)          ",MultiLineString,86.0236,27.8361,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8310238', '27.8332354', '86.0243580', '86.0321887']",highway,"Bigu-07, Bigu, दोलखा, बागमती प्रदेश, नेपाल",0.05337333409628439,27.8330462,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.0247079,,341264891,way,224822203,26,unclassified,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,,,,,Bigu,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 14)          ",MultiLineString,86.0312,27.8382,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8310238', '27.8332354', '86.0243580', '86.0321887']",highway,"Bigu-07, Bigu, दोलखा, बागमती प्रदेश, नेपाल",0.05337333409628439,27.83245,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.029838,,341264891,way,224822203,26,unclassified,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,,,,,Bigu,,,,,बागमती प्रदेश,,,
