algorithm,node,latitude,longitude,altitude,importance
greedy,Jiri Hospital,27.6342203,86.2318313772541,1888.0,5.000152590214416e-05
greedy,Jiri-02,27.6670333,86.2490316,3172.0,5.000152590214416e-05
greedy,chautara,27.6735234,86.2525758,3477.0,5.000152590214416e-05
greedy,Gaurishankar-05,27.72170835,86.2674203170994,3585.0,0.053383334859235486
greedy,Soktuma,27.72170835,86.2674203170994,3591.0,0.053383334859235486
greedy,Jiri-01,27.78668815,86.3498406132568,4602.0,0.16005000152590218
greedy,Gaurishankar-07,27.78668815,86.3498406132568,4244.0,0.16005000152590218
greedy,Yalung Ri Base Camp,27.85667695,86.432428,4885.0,5.000152590214416e-05
greedy,Na,27.8814863,86.42678,4298.0,5.000152590214416e-05
greedy,Josef Phurba Lodge,27.8812452,86.4260522,4254.0,5.000152590214416e-05
greedy,Gaurishankar-09,27.8864349,86.3990892331761,5176.0,0.16005000152590218
greedy,Beding,27.9028109,86.3755363,3788.0,5.000152590214416e-05
greedy,"historic Beding Gompa, Guru Rinpche cave ",27.9050483,86.3759091,3956.0,5.000152590214416e-05
greedy,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,27.9049642,86.3682367,3706.0,5.000152590214416e-05
greedy,Ramding,27.9070726,86.3634476,3614.0,5.000152590214416e-05
greedy,Sumda Mahades Hindu shrine,27.9031544,86.3420865,3548.0,5.000152590214416e-05
greedy,Lodge,27.9034379,86.3265257,3359.0,5.000152590214416e-05
greedy,Dongang,27.9034258,86.288103,3145.0,0.10671666819256884
greedy,Kyalche,27.9009832,86.2752002,3196.0,0.10671666819256884
greedy,Surmuche Hotel,27.8878572,86.2583097,2719.0,5.000152590214416e-05
greedy,Bamboo Bhatti,27.8862405,86.2446445,2750.0,5.000152590214416e-05
greedy,Shri Choing Choling Gumba,27.8723571,86.23389925,1657.0,5.000152590214416e-05
greedy,NH28,27.9157508,86.2083782,2002.0,0.05337333409628439
greedy,Shree kaileshwori PRA V,27.8170847,86.1264663,1933.0,4.0000762951049326e-05
greedy,Shree Himalaya Ma V,27.8055801,86.1219368543785,1798.0,4.0000762951049326e-05
greedy,Shree Chirkun Than Namuna PRA V,27.7993319,86.1219555,1714.0,4.0000762951049326e-05
greedy,Chilankha-Syakhu-Alampu-Bigu Road,27.7945143717388,86.1217871731345,1688.0,0.05337333409628439
greedy,Singati-Bigu Road,27.7599929,86.1481369,1062.0,0.05337333409628439
greedy,Bigu - Choitang - Gaglate Road,27.8380858680536,86.0693342012928,2131.0,0.05337333409628439
greedy,Bahrabise - Karthali - Dolangsa Road,27.8272412,86.0077633,3427.0,0.05337333409628439
greedy,Pokhare,27.8009472,85.9474848,3230.0,0.053383334859235486
greedy,Bhotekoshi-05,27.84887705,85.939705738014,2838.0,0.14671666819256882
greedy,NH34,27.9243005,85.9514255,2232.0,0.053383334859235486
greedy,23DR027,27.8917883,85.8771539,2131.0,0.053383334859235486
greedy,Bagaam,27.9283466,85.8992694,2919.0,0.1333833348592355
greedy,Bhairabkunda Road,27.92936165,85.8697019836549,3994.0,0.053383334859235486
greedy,Kyansing,27.9713264,85.8221074,2752.0,5.000152590214416e-05
greedy,Gamphāthāng,27.9641043,85.8045692,2217.0,5.000152590214416e-05
greedy,Jugal Hima Trek Route,28.0202151943382,85.7828763954676,2237.0,0.04005000152590218
divide_and_conquer,Jiri Hospital,27.6342203,86.2318313772541,1888.0,5.000152590214416e-05
divide_and_conquer,Jiri-02,27.6670333,86.2490316,3172.0,5.000152590214416e-05
